step,cefr_level,grammar_category,sub_category,guideword,learning_objective,example_sentence,lexical_range
163,A2,CLAUSES,coordinated,"FORM/USE: MULTIPLE MAIN CLAUSES, INSTRUCTIONS","Can combine multiple main clauses, with commas and conjunctions expressing order, often to give instructions or directions.","Your house is near to mine so turn down the 5th street and then go straight almost all the way. When you see the purple street turn there, then go to the left to the Red street, that is my street, my house is 17.",
164,A2,CLAUSES,declarative,"FORM: NEGATIVE DECLARATIVE, MODAL AUXILIARY VERBS",Can form a simple negative declarative clause with modal verb + 'not' or 'n't'.,I know you couldn't come to my party so I want to tell you about my presents and party.,
165,A2,CLAUSES,declarative,FORM: NEGATIVE DECLARATIVE WITH 'HAVE',Can form a simple negative declarative clause with auxiliary 'have' + 'not' or 'n't' and 'have' + 'not' or 'n't (got)',I haven't eaten Italian food for a long time.,
166,A2,CLAUSES,imperatives,FORM: AFFIRMATIVE,Can form an affirmative imperative with the base form of a main verb.,Goodbye. Write soon.,
167,A2,CLAUSES,imperatives,USE: INSTRUCTIONS,Can use the imperative to give instructions.,Take a taxi to the Petrol station then call me.,
168,A2,CLAUSES,imperatives,USE: EMPHASISING AN INSTRUCTION ,"Can use negative imperative after an instruction, for emphasis.",Our house is next to the school and my home is opposite the post office. Don't forget.,
169,A2,CLAUSES,imperatives,"FORM/USE: 'LET'S', SUGGESTION","Can use 'let's' + base form of a main verb, for first person plural imperatives to make a suggestion.",The concert will be in Canecão. Let's go!!!,
170,A2,CLAUSES,imperatives,FORM/USE: NEGATIVE ,"Can form a negative imperative with the auxiliary verb 'do' + 'n't' + base form of a main verb, to give advice, instructions or orders.","Don't tell Lucy, please.",
171,A2,CLAUSES,imperatives,USE: CLOSINGS,"Can use the imperative to give instructions, often at the end of a letter or when saying goodbye to someone.",Email or phone me.,
172,A2,CLAUSES,interrogatives,"FORM: AFFIRMATIVE INTERROGATIVE, WITH MODAL AUXILIARY VERBS",Can form interrogative clauses ('yes/no' forms) with modal auxiliary verbs.,Would you like to come with me?,
173,A2,CLAUSES,interrogatives,"FORM: AFFIRMATIVE INTERROGATIVE, WITH AUXILIARY 'BE/HAVE'",Can form interrogative clauses ('yes/no' forms) with auxiliary 'be' and 'have'.,Are you going to the new art class?,
174,A2,CLAUSES,interrogatives,FORM: AFFIRMATIVE INTERROGATIVE,Can form interrogative clauses ('yes/no' forms) of main lexical verbs with auxiliary 'do'.,Do you remember Julie?,
175,A2,CLAUSES,interrogatives,FORM: AFFIRMATIVE 'WH-' INTERROGATIVE ,Can form 'wh-' interrogative clauses with a 'wh-' word as object.,When are you coming here?,
176,A2,CLAUSES,interrogatives,FORM: NEGATIVE INTERROGATIVE,Can form negative interrogative clauses.,Isn't it great?,
177,A2,CLAUSES,interrogatives,FORM: NEGATIVE 'WH-' INTERROGATIVE ,Can form negative 'wh-' interrogative clauses.,Why don't we watch a film?,
178,A2,CLAUSES,phrases/exclamations,FORM: 'WHAT A PITY' + ('THAT') CLAUSE,Can use 'What a pity' + ('that') clause.,What a pity that you didn't come.,
179,A2,CLAUSES,phrases/exclamations,FORM: 'WHAT A …!',Can use 'What a' + noun phrase and 'What a' + noun phrase + clause.,What a brilliant idea.,
180,A2,CLAUSES,relative,"FORM: DEFINING, SUBJECT, WITH 'WHO'",Can use a defining relative clause with 'who' as the subject.,It's about a girl who went to the war when she was 22 years old.,
181,A2,CLAUSES,relative,"FORM: DEFINING, SUBJECT, WITH 'WHICH'",Can use a defining relative clause with 'which' as the subject.,"At the end of the game, the KASAS sang to Hagas a piece of music which makes me cry. Suzanna watched with me and she cried alot.",
182,A2,CLAUSES,relative,"FORM: DEFINING, OBJECT, WITH 'THAT'",Can use a defining relative clause with 'that' as the object.,"The team that I like is called 'The Monkeys', but Paty prefers 'The Walls'.",
183,A2,CLAUSES,relative,"FORM: NON-DEFINING, SUBJECT, WITH 'WHO'",Can use a non-defining relative clause with 'who' as the subject.,I watched it with my brother who was also interested in sports.,
184,A2,CLAUSES,relative,"FORM: NON-DEFINING, SUBJECT, WITH 'WHICH'","Can use a non-defining relative clause with 'which' as the subject,.","I bought it in Peter's Mobile shop, which is near to my home.",
185,A2,CLAUSES,relative,"FORM: DEFINING, OBJECT, WITH 'WHICH'",Can use a defining relative clause with 'which' as the object.,I came to your house yesterday with the computer game which I borrowed from Mayank.,
186,A2,CLAUSES,relative,"FORM: NON-DEFINING, OBJECT, WITH 'WHICH'",Can use a non-defining relative clause with 'which' as the object.,The best of all was a marble statue which my aunt gave me.,
187,A2,CLAUSES,relative,"FORM: DEFINING, WITHOUT PRONOUN","Can use a defining relative clause, without a relative pronoun.","My friends said the clothes I wore were very old, and they didn't like them.",
188,A2,CLAUSES,subordinated,"FORM/USE: 'IF' CLAUSES, CONDITIONS","Can use a finite subordinate clause with 'if', before or after a main clause, to introduce conditions. ► clauses: conditionals",I would be very happy if you visit me in Dublin.,
189,A2,CLAUSES,subordinated,FORM/USE: PURPOSE,"Can use a non-finite subordinate clause with 'to', to introduce purpose.","To get to my house you'll have to take the 5th avenue and go 6 streets to the left and at the bottom you'll see another street, go 3 streets to the right and there you'll find my house.",
190,A2,CLAUSES,subordinated,FORM/USE: TIME,"Can use a finite subordinate clause with time conjunctions, before or after a main clause.",I feel comfortable when I am wearing these clothes.,
191,A2,CONJUNCTIONS,subordinating,FORM: SIMPLE ,"Can use a limited range of simple subordinating conjunctions '(if, when, so, while)' to introduce a subordinate clause.","But if you don't take your car, you can rent a bike in the park too.",1.0
192,A2,DETERMINERS,articles,"FORM/USE: 'THE' + ADJECTIVES, SPECIFYING","Can use 'the' + adjectives in a noun phrase, to specify.",My house is opposite the new café.,
193,A2,DETERMINERS,articles,FORM: 'THE' + SUPERLATIVES ,Can form a noun phrase with 'the' + superlative adjectives + noun.,It has the latest technology.,
194,A2,DETERMINERS,demonstratives,FORM: 'THIS' WITH UNCOUNTABLE NOUNS,Can use 'this' with uncountable nouns. ► noun phrases ►  pronouns: demonstrative,"I found this information in: www.artschool.com,",2.0
195,A2,DETERMINERS,demonstratives,FORM: 'THAT',Can use 'that' with singular nouns. ► noun phrases ►  pronouns: demonstrative,I also want to see that film.,
196,A2,DETERMINERS,demonstratives,"USE: 'THAT', POINTING",Can use 'that' to talk about or point to things which are further away in time and space from the speaker or writer,"Placeholder row, lack of spoken data",
197,A2,DETERMINERS,demonstratives,"USE: 'THIS', ALREADY MENTIONED",Can use 'this' to refer to something with immediate relevance which has already been mentioned. ► noun phrases ►  pronouns: demonstrative,Could you send someone who can check where the problem is and try to do something about this problem.,1.0
198,A2,DETERMINERS,demonstratives,USE: 'THIS' POINTING|,Can use 'this' in an increasing range of contexts to refer to places and things from the speaker's or writer's point of view. ► noun phrases ► pronouns: demonstrative,"I am writing this letter to tell you about my favourite birthday present, which was a laptop.",2.0
199,A2,DETERMINERS,demonstratives,USE: POINTING,Can use 'this' in an increasing range of contexts to refer to places and things from the speaker's or writer's point of view. ► noun phrases ► pronouns: demonstrative,I am writing this letter to tell you about my favourite birthday present which was a laptop.,
200,A2,DETERMINERS,demonstratives,FORM: 'THESE' ,Can use 'these' with plural nouns. ► noun phrases ►  pronouns: demonstrative,I bought these clothes because they weren't expensive.,2.0
201,A2,DETERMINERS,demonstratives,"USE: 'THAT', ALREADY MENTIONED ",Can use 'that' to refer to something which has already been mentioned. ► noun phrases ►  pronouns: demonstrative,"Yesterday, I went shopping to Collesione for clothes. I bought a skirt and a T-shirt, because we have a party this week. They were very cheap. They cost £10. You should go that shop.",
202,A2,DETERMINERS,demonstratives,USE: 'THESE' POINTING||,Can use 'these' to refer to places and things from the speaker's or writer's point of view.,"Placeholder row, lack of spoken data",
203,A2,DETERMINERS,demonstratives,"USE: 'THOSE', ALREADY MENTIONED ",Can use 'those' to refer to things which have already been mentioned. ► noun phrases ►  pronouns: demonstrative,I went shopping for clothes yesterday. I bought some jumpers and trousers. I bought those clothes because I'm going to Japan next Friday and there the weather is cold.,
204,A2,DETERMINERS,demonstratives,"USE: 'THESE', ALREADY MENTIONED",Can use 'these' to refer to things with immediate relevance or which have already been mentioned. ► noun phrases ►  pronouns: demonstrative,"… you can visit the Old Museum, the Green Park, the old bridge and old church. These places are very old.",1.0
205,A2,DETERMINERS,demonstratives,USE: THOSE POINTING ,Can use 'those' to talk about or point to things which the speaker or writer perceives to be further away in time and space.,"Placeholder row, lack of spoken data",
206,A2,DETERMINERS,demonstratives,FORM: 'THOSE' ,Can use 'those' with plural nouns. ► noun phrases ►  pronouns: demonstrative,The cost of those clothes was £300.,2.0
207,A2,DETERMINERS,possessives,FORM: SINGULAR NOUN +''S',Can use ''s' after singular or proper nouns to indicate possession.,It's very important for me because it's my sister's jacket.,
208,A2,DETERMINERS,possessives,FORM: WITH QUANTIFYING DETERMINERS + 'OF' ,Can use quantifying determiners + possessive determiners + 'of' + noun. ► noun phrases,All of my friends were there.,
209,A2,DETERMINERS,quantity,"FORM: 'MUCH' WITH UNCOUNTABLE NOUNS, NEGATIVE",Can use 'much' with uncountable nouns in negative contexts.,"But we didn't have much money, so we didn't buy many things.",
210,A2,DETERMINERS,quantity,FORM: WITH SINGULAR NOUNS ,"Can use an increasing range of quantifying determiners with singular nouns ('each', 'an', 'one' and numbers).",The new art class starts next Monday and each class is about 1 hour long.,2.0
211,A2,DETERMINERS,quantity,FORM: WITH PLURAL AND UNCOUNTABLE NOUNS,"Can use a range of quantifying determiners ('some', 'any', 'no', 'more', 'a lot of') with both plural nouns and uncountable nouns.",I think we should bring some water to drink.,
212,A2,DETERMINERS,quantity,FORM: WITH PLURAL NOUNS ,"Can use an increasing range of quantifying determiners with plural nouns ('all', 'both', 'a few').",This notice is for all students: we are going to have a concert at school.,2.0
213,A2,DETERMINERS,quantity,"FORM: 'MANY' WITH PLURAL NOUNS, NEGATIVE",Can use 'many' with plural nouns in negative contexts.,There are n't many tickets.,
214,A2,DETERMINERS,quantity,FORM: 'SO MANY' WITH PLURAL NOUNS,Can use 'so many' and 'too many' with plural nouns.,"We played so many games, like dog and bone, four corners, and many more.",
215,A2,DETERMINERS,quantity,FORM: DETERMINER + 'OF' + DETERMINER,"Can use a range of quantifying determiners + 'of' + determiner ('all of', 'some of', 'both of', 'many of', 'any of', number + 'of', 'each of'). ► pronouns: quantity",I spent all of my money!,2.0
216,A2,DISCOURSE MARKERS,discourse markers in writing,"FORM/USE: 'AS YOU KNOW', ORGANISING, MARKING SHARED KNOWLEDGE",Can use 'as you know' as a discourse marker of shared knowledge.,"I can't come to your wedding because, as you know, I live in England and on Thursday 18th July I'm going to take the FCE exam.",
217,A2,DISCOURSE MARKERS,discourse markers in writing,"FORM/USE: 'SO', SUMMARISING, INFORMAL","Can use 'so' as a discourse marker to summarise, usually in informal contexts.","So, what do you think?",
218,A2,FOCUS,focus,"FORM/USE: PREPOSITIONAL PHRASES, FRONTING ",Can use prepositional phrases in the front position for focus.,"In the morning, I go to the beach.",
219,A2,FUTURE,future continuous,FORM: AFFIRMATIVE WITH 'WILL' ,Can use the affirmative form with 'will'.,I'll be waiting for you.,
220,A2,FUTURE,future continuous,USE: FUTURE ARRANGEMENTS,Can use the future continuous with 'will' to talk about an event or action in progress at a specified time in the future.,Tomorrow please come at 4.30 pm because I'll be working before.,
221,A2,FUTURE,future simple (with will and shall),FORM: NEGATIVE 'WILL',Can use the negative forms 'will not' and 'won't'.,Without them I will not be able to play football.,
222,A2,FUTURE,future simple (with will and shall),FORM: QUESTIONS ,Can use the question forms of 'will' and 'shall'.,Will you come?,
223,A2,FUTURE,future simple (with will and shall),FORM: AFFIRMATIVE 'SHALL',Can use the affirmative form 'shall' with 'I' and 'we'.,I shall come with you.,
224,A2,FUTURE,future simple (with will and shall),USE: OFFERS WITH 'SHALL',Can use 'shall I' to make offers.,Shall I wait for you?,
225,A2,FUTURE,future simple (with will and shall),USE: REQUESTS WITH 'WILL',Can use 'will' to make requests.,Will you come tomorrow at 6.35 pm to my house?,
226,A2,FUTURE,future simple (with will and shall),USE: PLANS AND  INTENTIONS WITH 'WILL',Can use 'will' to ask about plans and intentions.,Will you have a mobile phone?,
227,A2,FUTURE,future simple (with will and shall),USE: SUGGESTIONS WITH 'SHALL',Can use 'shall we' to make suggestions.,Shall we go to my friend's house to get it?,
228,A2,FUTURE,future simple (with will and shall),USE: WILLINGNESS WITH 'WILL',Can use 'will' to express willingness.,My mother will drive us there.,
229,A2,FUTURE,future with be going to,USE: INTENTIONS,Can use the affirmative and question forms of 'be going to' talk about plans and intentions.,I'm going to use pink paint.,
230,A2,FUTURE,future with be going to,FORM: QUESTIONS,Can use the question form.,What are you going to wear?,
231,A2,FUTURE,future with be going to,FORM: AFFIRMATIVE,Can use the affirmative form.,[about some new jeans] I 'm going to wear them on holiday.,
